username,repo_name,stars,repo_url
shd101wyy,markdown-preview-enhanced,3700,https://github.com/topics/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com/topics/atom/teletype
mmcdole,gofeed,1900,https://github.com/topics/mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com/topics/mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://github.com/topics/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/topics/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/topics/simplepie/simplepie
kurtmckee,feedparser,1400,https://github.com/topics/kurtmckee/feedparser
t9md,atom-vim-mode-plus,1400,https://github.com/topics/t9md/atom-vim-mode-plus
ocaml,merlin,1400,https://github.com/topics/ocaml/merlin
MagicStack,MagicPython,1300,https://github.com/topics/MagicStack/MagicPython
atom,apm,1300,https://github.com/topics/atom/apm
file-icons,atom,1200,https://github.com/topics/file-icons/atom
kettanaito,atomic-layout,1100,https://github.com/topics/kettanaito/atomic-layout
atom,github,1000,https://github.com/topics/atom/github
nmdias,FeedKit,987,https://github.com/topics/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,966,https://github.com/topics/nathanbuchar/atom-one-dark-terminal
fwcd,kotlin-language-server,942,https://github.com/topics/fwcd/kotlin-language-server
danhper,atomic-chrome,928,https://github.com/topics/danhper/atomic-chrome
jesseweed,seti-ui,897,https://github.com/topics/jesseweed/seti-ui
jpmonette,feed,791,https://github.com/topics/jpmonette/feed
prettier,prettier-atom,778,https://github.com/topics/prettier/prettier-atom
raphamorim,lucario,745,https://github.com/topics/raphamorim/lucario
atom-community,atom-script,736,https://github.com/topics/atom-community/atom-script
feeddd,feeds,730,https://github.com/topics/feeddd/feeds
jasonmunro,cypht,724,https://github.com/topics/jasonmunro/cypht
sindresorhus,awesome,203000,https://github.com/topics/sindresorhus/awesome
vinta,awesome-python,129000,https://github.com/topics/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,89900,https://github.com/topics/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,81500,https://github.com/topics/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,69200,https://github.com/topics/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,60700,https://github.com/topics/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,56000,https://github.com/topics/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,51200,https://github.com/topics/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,49500,https://github.com/topics/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,46800,https://github.com/topics/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,44700,https://github.com/topics/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42700,https://github.com/topics/wasabeef/awesome-android-ui
Solido,awesome-flutter,40800,https://github.com/topics/Solido/awesome-flutter
MunGell,awesome-for-beginners,40500,https://github.com/topics/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,40300,https://github.com/topics/prakhar1989/awesome-courses
vsouza,awesome-ios,39500,https://github.com/topics/vsouza/awesome-ios
binhnguyennus,awesome-scalability,38700,https://github.com/topics/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,37700,https://github.com/topics/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,35200,https://github.com/topics/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33800,https://github.com/topics/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,32200,https://github.com/topics/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,30400,https://github.com/topics/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,30300,https://github.com/topics/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29900,https://github.com/topics/brillout/awesome-react-components
ziadoz,awesome-php,26600,https://github.com/topics/ziadoz/awesome-php
rust-unofficial,awesome-rust,26100,https://github.com/topics/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,24300,https://github.com/topics/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23600,https://github.com/topics/alebcay/awesome-shell
sindresorhus,awesome-electron,22700,https://github.com/topics/sindresorhus/awesome-electron
lukasz-madon,awesome-remote-job,22300,https://github.com/topics/lukasz-madon/awesome-remote-job
serverless,serverless,42800,https://github.com/topics/serverless/serverless
localstack,localstack,41400,https://github.com/topics/localstack/localstack
bregman-arie,devops-exercises,25000,https://github.com/topics/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23200,https://github.com/topics/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,12600,https://github.com/topics/pulumi/pulumi
aws,aws-cli,12500,https://github.com/topics/aws/aws-cli
kubernetes-sigs,kubespray,12300,https://github.com/topics/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10400,https://github.com/topics/donnemartin/awesome-aws
mozilla,sops,9900,https://github.com/topics/mozilla/sops
apereo,cas,9500,https://github.com/topics/apereo/cas
aws,chalice,8900,https://github.com/topics/aws/chalice
aws-amplify,amplify-js,8700,https://github.com/topics/aws-amplify/amplify-js
aws,aws-cdk,8700,https://github.com/topics/aws/aws-cdk
